Time (s),SE1,SE2,voltage diff
2104-07-08T03:55:09.7,-600.9,-620.1,-3.87
2104-07-08T03:55:09.9,-601,-620.1,-3.916
2104-07-08T03:55:10,-601,-620.1,-3.89
2104-07-08T03:55:10.1,-601,-620.2,-3.841
2104-07-08T03:55:10.2,-601,-620.2,-3.85
2104-07-08T03:55:10.3,-601,-620.2,-3.841
2104-07-08T03:55:10.4,-601,-620.2,-3.832
2104-07-08T03:55:10.6,-600.9,-620.2,-3.762
2104-07-08T03:55:10.7,-601,-620.2,-3.836
2104-07-08T03:55:10.8,-601,-620.2,-3.807
2104-07-08T03:55:10.9,-600.9,-620.2,-3.768
2104-07-08T03:55:11,-601,-620.1,-3.807
2104-07-08T03:55:11.1,-600.9,-620.1,-3.776
2104-07-08T03:55:11.3,-600.9,-620.1,-3.774
2104-07-08T03:55:11.4,-601,-620.1,-3.851
2104-07-08T03:55:11.5,-601.1,-620.1,-3.926
2104-07-08T03:55:11.6,-601.2,-620.2,-3.948
2104-07-08T03:55:11.7,-601.2,-620.2,-3.949
2104-07-08T03:55:11.9,-601.2,-620.2,-3.927
2104-07-08T03:55:12,-601.3,-620.1,-4.04
2104-07-08T03:55:12.1,-601.2,-620.1,-3.992
2104-07-08T03:55:12.2,-601.2,-620.1,-3.943
2104-07-08T03:55:12.3,-601.2,-620.1,-3.935
2104-07-08T03:55:12.4,-601.3,-620.2,-4.008
2104-07-08T03:55:12.6,-601.2,-620.1,-3.951
2104-07-08T03:55:12.7,-601.3,-620.1,-4.007
2104-07-08T03:55:12.8,-601.3,-620.1,-3.969
2104-07-08T03:55:12.9,-601.3,-620.1,-3.961
2104-07-08T03:55:13,-601.3,-620.2,-3.974
2104-07-08T03:55:13.2,-601.3,-620.1,-3.941
2104-07-08T03:55:13.3,-601.3,-620.1,-3.994
2104-07-08T03:55:13.4,-601.3,-620.1,-3.93
2104-07-08T03:55:13.5,-601.2,-620.1,-3.88
2104-07-08T03:55:13.6,-601.2,-620.1,-3.909
2104-07-08T03:55:13.7,-601.2,-620.1,-3.859
2104-07-08T03:55:13.8,-601.3,-620.1,-3.975
2104-07-08T03:55:14,-601.3,-620,-4.012
2104-07-08T03:55:14.1,-601.3,-620,-4.064
2104-07-08T03:55:14.2,-601.3,-620,-4.024
2104-07-08T03:55:14.4,-601.3,-620,-4.021
2104-07-08T03:55:14.5,-601.3,-620,-4
2104-07-08T03:55:14.6,-601.4,-620,-4.118
2104-07-08T03:55:14.7,-601.5,-620,-4.136
2104-07-08T03:55:14.8,-601.4,-620,-4.048
2104-07-08T03:55:15,-601.3,-620,-4.017
2104-07-08T03:55:15.1,-601.4,-620,-4.094
2104-07-08T03:55:15.2,-601.4,-620.1,-4.092
2104-07-08T03:55:15.4,-601.5,-620.1,-4.14
2104-07-08T03:55:15.5,-601.5,-620.1,-4.144
2104-07-08T03:55:15.6,-601.6,-620.1,-4.216
2104-07-08T03:55:15.7,-601.7,-620.2,-4.256
2104-07-08T03:55:15.8,-601.8,-620.2,-4.295
2104-07-08T03:55:15.9,NAN,-634.9,NAN
2104-07-08T03:55:16.1,NAN,-969,NAN
2104-07-08T03:55:16.2,NAN,-1024,NAN
2104-07-08T03:55:16.3,NAN,-1039,-954
2104-07-08T03:55:16.4,NAN,-1039,-822
2104-07-08T03:55:16.5,NAN,-1031,-722
2104-07-08T03:55:16.7,NAN,-1007,-583.6
2104-07-08T03:55:16.8,NAN,-992,-536.6
2104-07-08T03:55:16.9,NAN,-976,-499.4
2104-07-08T03:55:17,NAN,-961,-472
2104-07-08T03:55:17.1,NAN,-946,-407.5
2104-07-08T03:55:17.3,NAN,-910,-213.1
2104-07-08T03:55:17.4,-1024,-889,-155.5
2104-07-08T03:55:17.5,-958,-867,-113.7
2104-07-08T03:55:17.6,-905,-846,-83.2
2104-07-08T03:55:17.7,-862,-826,-60.97
2104-07-08T03:55:17.8,-826,-806,-44.6
2104-07-08T03:55:18,-768.2,-770.3,-22.86
2104-07-08T03:55:18.1,-746.7,-755,-16.77
2104-07-08T03:55:18.2,-728.6,-741,-12.47
2104-07-08T03:55:18.3,-712.8,-728.4,-9.24
2104-07-08T03:55:18.4,-699.5,-716.9,-7.154
2104-07-08T03:55:18.6,-677.7,-697.3,-4.583
2104-07-08T03:55:18.7,-668.9,-689,-3.876
2104-07-08T03:55:18.8,-661,-681.6,-3.344
2104-07-08T03:55:18.9,-654.2,-674.9,-3.052
2104-07-08T03:55:19,-648.3,-669,-2.92
2104-07-08T03:55:19.1,-643.1,-663.7,-2.878
2104-07-08T03:55:19.3,-634.4,-654.7,-2.859
2104-07-08T03:55:19.4,-630.7,-650.9,-2.912
2104-07-08T03:55:19.5,-627.5,-647.5,-3.037
2104-07-08T03:55:19.6,-624.6,-644.5,-3.056
2104-07-08T03:55:19.7,-622,-641.8,-3.067
2104-07-08T03:55:19.9,-617.8,-637.2,-3.272
2104-07-08T03:55:20,-616,-635.3,-3.354
2104-07-08T03:55:20.1,-614.5,-633.6,-3.455
2104-07-08T03:55:20.2,-613.1,-632.1,-3.524
2104-07-08T03:55:20.3,-611.8,-630.8,-3.531
2104-07-08T03:55:20.4,-610.6,-629.6,-3.558
2104-07-08T03:55:20.5,-609.7,-628.5,-3.678
2104-07-08T03:55:20.7,-608.2,-626.7,-3.811
2104-07-08T03:55:20.8,-607.5,-626,-3.875
2104-07-08T03:55:20.9,-606.9,-625.3,-3.912
2104-07-08T03:55:21,-606.3,-624.7,-3.892
2104-07-08T03:55:21.1,-605.8,-624.2,-3.908
2104-07-08T03:55:21.3,-605,-623.3,-3.982
2104-07-08T03:55:21.4,-604.7,-622.9,-3.988
2104-07-08T03:55:21.5,-604.5,-622.5,-4.131
2104-07-08T03:55:21.6,-604.2,-622.3,-4.118
2104-07-08T03:55:21.7,-604,-622,-4.153
2104-07-08T03:55:21.9,-603.7,-621.6,-4.197
2104-07-08T03:55:22,-603.5,-621.4,-4.201
2104-07-08T03:55:22.1,-603.4,-621.2,-4.249
2104-07-08T03:55:22.2,-603.3,-621.1,-4.25
2104-07-08T03:55:22.3,-603.1,-621,-4.204
2104-07-08T03:55:22.5,-602.9,-620.8,-4.188
2104-07-08T03:55:22.6,-602.8,-620.7,-4.183
2104-07-08T03:55:22.7,-602.8,-620.6,-4.182
2104-07-08T03:55:22.8,-602.7,-620.5,-4.178
2104-07-08T03:55:22.9,-602.7,-620.5,-4.224
2104-07-08T03:55:23,-602.6,-620.4,-4.184
2104-07-08T03:55:23.1,-602.6,-620.3,-4.256
2104-07-08T03:55:23.3,-602.4,-620.2,-4.167
2104-07-08T03:55:23.4,-602.4,-620.2,-4.168
2104-07-08T03:55:23.5,-602.4,-620.1,-4.183
2104-07-08T03:55:23.6,-602.3,-620.1,-4.147
2104-07-08T03:55:23.7,-602.4,-620.1,-4.209
2104-07-08T03:55:23.8,-602.3,-620.1,-4.176
2104-07-08T03:55:24,-602.3,-620,-4.164
2104-07-08T03:55:24.1,-602.3,-620,-4.207
2104-07-08T03:55:24.2,-602.3,-620,-4.238
2104-07-08T03:55:24.3,-602.3,-620,-4.248
2104-07-08T03:55:24.4,-602.3,-620,-4.236
2104-07-08T03:55:24.6,-602.3,-619.9,-4.213
2104-07-08T03:55:24.7,-602.3,-619.9,-4.22
2104-07-08T03:55:24.8,-602.3,-619.9,-4.254
2104-07-08T03:55:24.9,-602.3,-619.9,-4.27
2104-07-08T03:55:25,-602.4,-619.9,-4.396
2104-07-08T03:55:25.1,-602.4,-619.9,-4.371
2104-07-08T03:55:25.3,-602.3,-619.8,-4.242
2104-07-08T03:55:25.4,-602.3,-619.9,-4.278
2104-07-08T03:55:25.5,-602.4,-619.9,-4.293
2104-07-08T03:55:25.6,-602.3,-619.9,-4.284
2104-07-08T03:55:25.7,-602.4,-619.8,-4.367
2104-07-08T03:55:25.8,-602.5,-619.8,-4.42
2104-07-08T03:55:26,-602.4,-619.8,-4.369
2104-07-08T03:55:26.1,-602.4,-619.8,-4.317
2104-07-08T03:55:26.2,-602.4,-619.8,-4.345
2104-07-08T03:55:26.3,-602.4,-619.8,-4.338
2104-07-08T03:55:26.4,-602.3,-619.8,-4.289
2104-07-08T03:55:26.5,-602.4,-619.8,-4.355
2104-07-08T03:55:26.6,-602.4,-619.8,-4.38
2104-07-08T03:55:26.8,-602.5,-619.8,-4.406
2104-07-08T03:55:26.9,-602.4,-619.8,-4.361
2104-07-08T03:55:27,-602.4,-619.8,-4.313
2104-07-08T03:55:27.1,-602.4,-619.8,-4.346
2104-07-08T03:55:27.2,-602.3,-619.8,-4.301
2104-07-08T03:55:27.3,-602.4,-619.8,-4.336
2104-07-08T03:55:27.4,-602.4,-619.8,-4.327
2104-07-08T03:55:27.6,-602.4,-619.8,-4.354
